,0
0,Who has 192.168.43.1? Tell 192.168.43.186
1,192.168.43.1 is at 6e:c7:ec:3c:f2:ba
2,Standard query 0x0c44 PTR 1.43.168.192.in-addr.arpa
3,Standard query response 0x0c44 No such name PTR 1.43.168.192.in-addr.arpa SOA localhost
4,36954  >  1720 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
5,36954  >  5900 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
6,36954  >  135 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
7,36954  >  143 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
8,36954  >  993 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9,36954  >  110 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
10,36954  >  21 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
11,36954  >  113 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
12,36954  >  22 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
13,36954  >  3306 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
14,"1720  >  36954 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
15,"5900  >  36954 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
16,"135  >  36954 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
17,"143  >  36954 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
18,"993  >  36954 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19,"110  >  36954 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
20,"21  >  36954 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
21,"113  >  36954 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
22,"22  >  36954 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
23,"3306  >  36954 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
24,36954  >  995 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
25,36954  >  53 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
26,36954  >  445 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
27,36954  >  80 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
28,36954  >  8888 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
29,36954  >  25 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
30,36954  >  23 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
31,36954  >  256 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
32,36954  >  199 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
33,36954  >  1025 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
34,36954  >  554 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
35,36954  >  3389 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
36,36954  >  8080 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
37,36954  >  587 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
38,36954  >  111 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
39,36954  >  443 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
40,36954  >  139 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
41,36954  >  1723 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
42,36954  >  49156 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
43,36954  >  2135 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
44,36954  >  9418 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
45,36954  >  22939 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
46,36954  >  32782 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
47,36954  >  1166 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
48,36954  >  2111 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
49,36954  >  2200 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
50,36954  >  1073 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
51,36954  >  880 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
52,36954  >  1783 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
53,36954  >  3 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
54,36954  >  9999 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
55,36954  >  5925 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
56,36954  >  6123 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
57,36954  >  340 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
58,36954  >  2009 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
59,36954  >  10629 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
60,36954  >  1840 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
61,36954  >  19283 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
62,36954  >  10002 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
63,36954  >  2910 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
64,36954  >  2007 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
65,36954  >  34571 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
66,36954  >  1148 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
67,36954  >  3300 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
68,36954  >  1864 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
69,36954  >  987 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
70,36954  >  49176 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
71,36954  >  7 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
72,36954  >  683 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
73,36954  >  7938 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
74,36954  >  32781 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
75,36954  >  58080 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
76,36954  >  2323 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
77,36954  >  1060 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
78,36954  >  6059 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
79,36954  >  212 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
