Model,Accuracy,Precision,Recall,F1 Score,AUC
RandomForestClassifier_pca,0.959779,0.950549,0.922052,0.936084,0.988902
AdaBoostClassifier_pca,0.920834,0.857958,0.901399,0.879142,0.976839
GradientBoostingClassifier_pca,0.961694,0.950239,0.928714,0.939353,0.990254
XGBoostClassifier_pca,0.957863,0.942896,0.924051,0.933378,0.98933
Gaussian Naive Bayes Classifier_pca,0.858693,0.734454,0.873418,0.797931,0.892739
DecisionTreeClassifier_pca,0.955948,0.932487,0.92938,0.930931,0.949624
RandomForestClassifier,0.971696,0.981013,0.92938,0.954499,0.994254
AdaBoostClassifier,0.955735,0.933602,0.927382,0.930481,0.991296
GradientBoostingClassifier,0.96893,0.964997,0.936709,0.950642,0.993191
XGBoostClassifier,0.970206,0.976875,0.928714,0.952186,0.99412
Gaussian Naive Bayes Classifier,0.828687,0.800518,0.617588,0.697255,0.91083
DecisionTreeClassifier,0.96063,0.93984,0.936709,0.938272,0.956425
