Model,Accuracy,Precision,Recall,F1 Score,AUC
RandomForestClassifier_pca,0.990468,0.999885,0.988049,0.993932,0.999053
AdaBoostClassifier_pca,0.988355,0.999654,0.985602,0.992578,0.999135
GradientBoostingClassifier_pca,0.990558,0.99954,0.988504,0.993991,0.999252
XGBoostClassifier_pca,0.990873,0.99977,0.988675,0.994192,0.999228
Gaussian Naive Bayes Classifier_pca,0.924872,0.987551,0.916458,0.950677,0.978121
DecisionTreeClassifier_pca,0.990558,0.998164,0.98987,0.994,0.991507
RandomForestClassifier,0.993346,1.0,0.991578,0.995771,0.999655
AdaBoostClassifier,0.991278,0.999942,0.989017,0.99445,0.999423
GradientBoostingClassifier,0.99465,0.999885,0.993342,0.996603,0.999744
XGBoostClassifier,0.993391,0.999943,0.991691,0.9958,0.999663
Gaussian Naive Bayes Classifier,0.97806,0.98912,0.983041,0.986071,0.990337
DecisionTreeClassifier,0.994785,0.999428,0.993968,0.99669,0.995942
